DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
10.1148/radiol.211604,35230182.0,,A Novel Benchmarking Approach to Assess the Agreement among Radiomic Tools,"Background The translation of radiomic models into clinical practice is hindered by the limited reproducibility of features across software and studies. Standardization is needed to accelerate this process and to bring radiomics closer to clinical deployment. Purpose To assess the standardization level of seven radiomic software programs and investigate software agreement as a function of built-in image preprocessing (eg, interpolation and discretization), feature aggregation methods, and the morphological characteristics (ie, volume and shape) of the region of interest (ROI). Materials and Methods The study was organized into two phases: In phase I, the two Image Biomarker Standardization Initiative (IBSI) phantoms were used to evaluate the IBSI compliance of seven software programs. In phase II, the reproducibility of all IBSI-standardized radiomic features across tools was assessed with two custom Italian multicenter Shared Understanding of Radiomic Extractors (ImSURE) digital phantoms that allowed, in conjunction with a systematic feature extraction, observations on whether and how feature matches between program pairs varied depending on the preprocessing steps, aggregation methods, and ROI characteristics. Results In phase I, the software programs showed different levels of completeness (ie, the number of computable IBSI benchmark values). However, the IBSI-compliance assessment revealed that they were all standardized in terms of feature implementation. When considering additional preprocessing steps, for each individual program, match percentages fell by up to 30%. In phase II, the ImSURE phantoms showed that software agreement was dependent on discretization and aggregation as well as on ROI shape and volume factors. Conclusion The agreement of radiomic software varied in relation to factors that had already been standardized (eg, interpolation and discretization methods) and factors that need standardization. Both dependences must be resolved to ensure the reproducibility of radiomic features and to pave the way toward the clinical adoption of radiomic models. © RSNA, 2022 Online supplemental material is available for this article. See also the editorial by Steiger in this issue.","Andrea Bettinelli,Andrea Bettinelli,Francesca Marturano,Francesca Marturano,Michele Avanzo,Michele Avanzo,Emiliano Loi,Emiliano Loi,E. Menghi,E. Menghi,Emilio Mezzenga,Emilio Mezzenga,G. Pirrone,G. Pirrone,Anna Sarnelli,Anna Sarnelli,Lidia Strigari,Lidia Strigari,Silvia Strolin,Silvia Strolin,Marta Paiusco,M. Paiusco",Radiology,2022.0
10.1186/s13244-021-01153-9,35124733.0,,A review on advances in 18F-FDG PET/CT radiomics standardisation and application in lung disease management,"Abstract Radiomics analysis quantifies the interpolation of multiple and invisible molecular features present in diagnostic and therapeutic images. Implementation of 18-fluorine-fluorodeoxyglucose positron emission tomography/computed tomography ( 18 F-FDG PET/CT) radiomics captures various disorders in non-invasive and high-throughput manner. 18 F-FDG PET/CT accurately identifies the metabolic and anatomical changes during cancer progression. Therefore, the application of 18 F-FDG PET/CT in the field of oncology is well established. Clinical application of 18 F-FDG PET/CT radiomics in lung infection and inflammation is also an emerging field. Combination of bioinformatics approaches or textual analysis allows radiomics to extract additional information to predict cell biology at the micro-level. However, radiomics texture analysis is affected by several factors associated with image acquisition and processing. At present, researchers are working on mitigating these interrupters and developing standardised workflow for texture biomarker establishment. This review article focuses on the application of 18 F-FDG PET/CT in detecting lung diseases specifically on cancer, infection and inflammation. An overview of different approaches and challenges encountered on standardisation of 18 F-FDG PET/CT technique has also been highlighted. The review article provides insights about radiomics standardisation and application of 18 F-FDG PET/CT in lung disease management.","Noushin Anan,Noushin Anan,Rafidah Zainon,Rafidah Zainon,Mahbubunnabi Tamal,Mahbubunnabi Tamal",Insights Into Imaging,2022.0
10.3389/fneur.2022.905761,35903112.0,,Cervical Cancer Imaging Features Associated With ADRB1 as a Risk Factor for Cerebral Neurovascular Metastases,"Bioinformatics tools are used to create a clinical prediction model for cervical cancer metastasis and to investigate the neurovascular-related genes that are involved in brain metastasis of cervical cancer. One hundred eighteen patients with cervical cancer were divided into two groups based on the presence or absence of metastases, and the clinical data and imaging findings of the two groups were compared retrospectively. The nomogram-based model was successfully constructed by taking into account four clinical characteristics (age, stage, N, and T) as well as one imaging characteristic (original_glszm_GrayLevelVariance Rad-score). In patients with cervical cancer, headaches and vomiting were more often reported in the brain metastasis group than in the other metastasis groups. According to the TCGA data, mRNA differential gene expression analysis of patients with cervical cancer revealed an increase in the expression of neurovascular-related gene Adrenoceptor Beta 1 ( ADRB1 ) in the brain metastasis group. An analysis of the correlation between imaging features and ADRB1 expression revealed that ADRB1 expression was significantly higher in the low Rad-score group compared with the high Rad-score group ( P = 0.025). Therefore, ADRB1 expression in cervical cancer was correlated with imaging features and was associated as a risk factor for cerebral neurovascular metastases. This study developed a nomogram prediction model for cervical cancer metastasis using age, stage, N, T and original_glszm_GrayLevelVariance. As a risk factor associated with the development of cerebral neurovascular metastases of cervical cancer, ADRB1 expression was significantly higher in brain metastases from cervical cancer.","Xingju Zheng,Xingju Zheng,Shilin Xu,Shilin Xu,JiaYing Wu,Jiaying Wu",Frontiers in Neurology,2022.0
10.3390/jimaging8110303,36354876.0,,Harmonization Strategies in Multicenter MRI-Based Radiomics,"Radiomics analysis is a powerful tool aiming to provide diagnostic and prognostic patient information directly from images that are decoded into handcrafted features, comprising descriptors of shape, size and textural patterns. Although radiomics is gaining momentum since it holds great promise for accelerating digital diagnostics, it is susceptible to bias and variation due to numerous inter-patient factors (e.g., patient age and gender) as well as inter-scanner ones (different protocol acquisition depending on the scanner center). A variety of image and feature based harmonization methods has been developed to compensate for these effects; however, to the best of our knowledge, none of these techniques has been established as the most effective in the analysis pipeline so far. To this end, this review provides an overview of the challenges in optimizing radiomics analysis, and a concise summary of the most relevant harmonization techniques, aiming to provide a thorough guide to the radiomics harmonization process.","Elisavet Stamoulou,Elisavet Stamoulou,Constantinos Spanakis,Constantinos Spanakis,Georgios C. Manikis,Georgios C. Manikis,Georgia S. Karanasiou,Georgia S. Karanasiou,Grigoris Grigoriadis,Grigoris Grigoriadis,Theodoros Foukakis,Theodoros Foukakis,Manolis Tsiknakis,Manolis Tsiknakis,Dimitrios I. Fotiadis,Dimitrios I. Fotiadis,Kostas Marias,Kostas Marias",Journal of Imaging,2022.0
10.1088/1361-6560/ac7fd7,35803254.0,,Impact of image quality on radiomics applications,"Radiomics features extracted from medical images have been widely reported to be useful in the patient specific outcome modeling for variety of assessment and prediction purposes. Successful application of radiomics features as imaging biomarkers, however, is dependent on the robustness of the approach to the variation in each step of the modeling workflow. Variation in the input image quality is one of the main sources that impacts the reproducibility of radiomics analysis when a model is applied to broader range of medical imaging data. The quality of medical image is generally affected by both the scanner related factors such as image acquisition/reconstruction settings and the patient related factors such as patient motion. This article aimed to review the published literatures in this field that reported the impact of various imaging factors on the radiomics features through the change in image quality. The literatures were categorized by different imaging modalities and also tabulated based on the imaging parameters and the class of radiomics features included in the study. Strategies for image quality standardization were discussed based on the relevant literatures and recommendations for reducing the impact of image quality variation on the radiomics in multi-institutional clinical trial were summarized at the end of this article.","Yunfeng Cui,Yunfeng Cui,Fang-Fang Yin,Fang‐Fang Yin",Physics in Medicine and Biology,2022.0
10.1097/rli.0000000000000921,36070524.0,,Influence of Image Processing on Radiomic Features From Magnetic Resonance Imaging.,"Before implementing radiomics in routine clinical practice, comprehensive knowledge about the repeatability and reproducibility of radiomic features is required. The aim of this study was to systematically investigate the influence of image processing parameters on radiomic features from magnetic resonance imaging (MRI) in terms of feature values as well as test-retest repeatability.Utilizing a phantom consisting of 4 onions, 4 limes, 4 kiwifruits, and 4 apples, we acquired a test-retest dataset featuring 3 of the most commonly used MRI sequences on a 3 T scanner, namely, a T1-weighted, a T2-weighted, and a fluid-attenuated inversion recovery sequence, each at high and low resolution. After semiautomatic image segmentation, image processing with systematic variation of image processing parameters was performed, including spatial resampling, intensity discretization, and intensity rescaling. For each respective image processing setting, a total of 45 radiomic features were extracted, corresponding to the following 7 matrices/feature classes: conventional indices, histogram matrix, shape matrix, gray-level zone length matrix, gray-level run length matrix, neighboring gray-level dependence matrix, and gray-level cooccurrence matrix. Systematic differences of individual features between different resampling steps were assessed using 1-way analysis of variance with Tukey-type post hoc comparisons to adjust for multiple testing. Test-retest repeatability of radiomic features was measured using the concordance correlation coefficient, dynamic range, and intraclass correlation coefficient.Image processing influenced radiological feature values. Regardless of the acquired sequence and feature class, significant differences (P < 0.05) in feature values were found when the size of the resampled voxels was too large, that is, bigger than 3 mm. Almost all higher-order features depended strongly on intensity discretization. The effects of intensity rescaling were negligible except for some features derived from T1-weighted sequences. For all sequences, the percentage of repeatable features (concordance correlation coefficient and dynamic range ≥ 0.9) varied considerably depending on the image processing settings. The optimal image processing setting to achieve the highest percentage of stable features varied per sequence. Irrespective of image processing, the fluid-attenuated inversion recovery sequence in high-resolution overall yielded the highest number of stable features in comparison with the other sequences (89% vs 64%-78% for the respective optimal image processing settings). Across all sequences, the most repeatable features were generally obtained for a spatial resampling close to the originally acquired voxel size and an intensity discretization to at least 32 bins.Variation of image processing parameters has a significant impact on the values of radiomic features as well as their repeatability. Furthermore, the optimal image processing parameters differ for each MRI sequence. Therefore, it is recommended that these processing parameters be determined in corresponding test-retest scans before clinical application. Extensive repeatability, reproducibility, and validation studies as well as standardization are required before quantitative image analysis and radiomics can be reliably translated into routine clinical care.","Barbara Wichtmann,Barbara D. Wichtmann,F Harder,Felix N. Harder,Kilian Weiss,Kilian Weiss,Stefan O. Schönberg,Stefan O. Schönberg,Ulrike I. Attenberger,Ulrike I. Attenberger,Hatem Alkadhi,Hatem Alkadhi,Daniel Pinto dos Santos,Daniel Pinto dos Santos,Bettina Baeßler,Bettina Baeßler",Investigative Radiology,2022.0
10.3389/fendo.2022.1093508,36619583.0,,Preoperative prediction of residual back pain after vertebral augmentation for osteoporotic vertebral compression fractures: Initial application of a radiomics score based nomogram,"Most patients with osteoporotic vertebral compression fracture (OVCF) obtain pain relief after vertebral augmentation, but some will experience residual back pain (RBP) after surgery. Although several risk factors of RBP have been reported, it is still difficult to estimate the risk of RBP preoperatively. Radiomics is helpful for disease diagnosis and outcome prediction by establishing complementary relationships between human-recognizable and computer-extracted features. However, musculoskeletal radiomics investigations are less frequently reported.This study aims to establish a radiomics score (rad-score) based nomogram for the preoperative prediction of RBP in OVCF patients.The training cohort of 731 OVCF patients was used for nomogram development, and the validation cohort was utilized for performance test. RBP was determined as the score of visual analogue scale ≥ 4 at both 3 and 30 days following surgery. After normalization, the RBP-related radiomics features were selected to create rad-scores. These rad-scores, along with the RBP predictors initially identified by univariate analyses, were included in the multivariate analysis to establish a nomogram for the assessment of the RBP risk in OVCF patients preoperatively.A total of 81 patients (11.2%) developed RBP postoperatively. We finally selected 8 radiomics features from 1316 features extracted from each segmented image to determine the rad-score. Multivariate analysis revealed that the rad-score plus bone mineral density, intravertebral cleft, and thoracolumbar fascia injury were independent factors of RBP. Our nomograms based on these factors demonstrated good discrimination, calibration, and clinical utility in both training and validation cohorts. Furthermore, it achieved better performance than the rad-score itself, as well as the nomogram only incorporating regular features.We developed and validated a nomogram incorporating the rad-score and regular features for preoperative prediction of the RBP risk in OVCF patients, which contributed to improved surgical outcomes and patient satisfaction.","Ge Chen,Zhe Chen,Lin Yan,Yuehuan Zheng,Peng Cao,Xiaoyong Chen",,2022.0
10.3390/diagnostics11091523,,,A Comprehensive Review on Radiomics and Deep Learning for Nasopharyngeal Carcinoma Imaging.,"Nasopharyngeal carcinoma (NPC) is one of the most common malignant tumours of the head and neck, and improving the efficiency of its diagnosis and treatment strategies is an important goal. With the development of the combination of artificial intelligence (AI) technology and medical imaging in recent years, an increasing number of studies have been conducted on image analysis of NPC using AI tools, especially radiomics and artificial neural network methods. In this review, we present a comprehensive overview of NPC imaging research based on radiomics and deep learning. These studies depict a promising prospect for the diagnosis and treatment of NPC. The deficiencies of the current studies and the potential of radiomics and deep learning for NPC imaging are discussed. We conclude that future research should establish a large-scale labelled dataset of NPC images and that studies focused on screening for NPC using AI are necessary.","Li Song,Song Li,Yuxiao Deng,Yuqin Deng,Zhiling Zhu,Yu-Qin Deng,Hong‐Li Hua,Zhi-Ling Zhu,Hong-Li Hua,Zezhang Tao,Ze-Zhang Tao,Zezhang Tao",,2021.0
10.1101/cshperspect.a039537,33431509.0,,Application of Radiomics and Artificial Intelligence for Lung Cancer Precision Medicine,"Medical imaging is the standard-of-care for early detection, diagnosis, treatment planning, monitoring, and image-guided interventions of lung cancer patients. Most medical images are stored digitally in a standardized Digital Imaging and Communications in Medicine format that can be readily accessed and used for qualitative and quantitative analysis. Over the several last decades, medical images have been shown to contain complementary and interchangeable data orthogonal to other sources such as pathology, hematology, genomics, and/or proteomics. As such, ""radiomics"" has emerged as a field of research that involves the process of converting standard-of-care images into quantitative image-based data that can be merged with other data sources and subsequently analyzed using conventional biostatistics or artificial intelligence (AI) methods. As radiomic features capture biological and pathophysiological information, these quantitative radiomic features have shown to provide rapid and accurate noninvasive biomarkers for lung cancer risk prediction, diagnostics, prognosis, treatment response monitoring, and tumor biology. In this review, radiomics and emerging AI methods in lung cancer research are highlighted and discussed including advantages, challenges, and pitfalls.","Ilke Tunali,Ilke Tunali,Robert J. Gillies,Matthew B. Schabath,Robert J. Gillies,Matthew B. Schabath",Cold Spring Harbor Perspectives in Medicine,2021.0
10.7150/ijbs.55716,,,Application of radiomics and machine learning in head and neck cancers.,"With the continuous development of medical image informatics technology, more and more high-throughput quantitative data could be extracted from digital medical images, which has resulted in a new kind of omics-Radiomics. In recent years, in addition to genomics, proteomics and metabolomics, radiomic has attracted the interest of more and more researchers. Compared to other omics, radiomics can be perfectly integrated with clinical data, even with the pathology and molecular biomarker, so that the study can be closer to the clinical reality and more revealing of the tumor development. Mass data will also be generated in this process. Machine learning, due to its own characteristics, has a unique advantage in processing massive radiomic data. By analyzing mass amounts of data with strong clinical relevance, people can construct models that more accurately reflect tumor development and progression, thereby providing the possibility of personalized and sequential treatment of patients. As one of the cancer types whose treatment and diagnosis rely on imaging examination, radiomics has a very broad application prospect in head and neck cancers (HNC). Until now, there have been some notable results in HNC. In this review, we will introduce the concepts and workflow of radiomics and machine learning and their current applications in head and neck cancers, as well as the directions and applications of artificial intelligence in the treatment and diagnosis of HNC.","Zhouying Peng,Zhouying Peng,Yumin Wang,Yumin Wang,Yaxuan Wang,Sijie Jiang,Yaxuan Wang,Sijie Jiang,Ruohao Fan,Hua Zhang,Ruohao Fan,Hua Zhang,Weihong Jiang,Hua Zhang,Weihong Jiang,Weihong Jiang",International Journal of Biological Sciences,2021.0
10.1186/s40658-021-00367-6,33638729.0,,Impact of segmentation and discretization on radiomic features in 68Ga-DOTA-TOC PET/CT images of neuroendocrine tumor.,"OBJECTIVE To identify the impact of segmentation methods and intensity discretization on radiomic features (RFs) extraction from 68Ga-DOTA-TOC PET images in patients with neuroendocrine tumors. METHODS Forty-nine patients were retrospectively analyzed. Tumor contouring was performed manually by four different operators and with a semi-automatic edge-based segmentation (SAEB) algorithm. Three SUVmax fixed thresholds (20, 30, 40%) were applied. Fifty-one RFs were extracted applying two different intensity rescale factors for gray-level discretization: one absolute (AR60 = SUV from 0 to 60) and one relative (RR = min-max of the VOI SUV). Dice similarity coefficient (DSC) was calculated to quantify segmentation agreement between different segmentation methods. The impact of segmentation and discretization on RFs was assessed by intra-class correlation coefficients (ICC) and the coefficient of variance (COVL). The RFs' correlation with volume and SUVmax was analyzed by calculating Pearson's correlation coefficients. RESULTS DSC mean value was 0.75 ± 0.11 (0.45-0.92) between SAEB and operators and 0.78 ± 0.09 (0.36-0.97), among the four manual segmentations. The study showed high robustness (ICC >0.9): (a) in 64.7% of RFs for segmentation methods using AR60, improved by applying SUVmax threshold of 40% (86.5%); (b) in 50.9% of RFs for different SUVmax thresholds using AR60; and (c) in 37% of RFs for discretization settings using different segmentation methods. Several RFs were not correlated with volume and SUVmax. CONCLUSIONS RFs robustness to manual segmentation resulted higher in NET 68Ga-DOTA-TOC images compared to 18F-FDG PET/CT images. Forty percent SUVmax thresholds yield superior RFs stability among operators, however leading to a possible loss of biological information. SAEB segmentation appears to be an optimal alternative to manual segmentation, but further validations are needed. Finally, discretization settings highly impacted on RFs robustness and should always be stated.","Virginia Liberini,Bruno De Santi,Virginia Liberini,Osvaldo Rampado,Bruno De Santi,Osvaldo Rampado,E. Gallio,E. Gallio,Beatrice Dionisi,Francesco Ceci,Beatrice Dionisi,Francesco Ceci,Giulia Polverari,Francesco Ceci,Philippe Thuillier,Giulia Polverari,Giulia Polverari,Filippo Molinari,Philippe Thuillier,Désirèe Deandreis,Filippo Molinari,Désirée Deandreis,Désirée Deandreis",EJNMMI Physics,2021.0
10.3390/cancers13102469,,,Machine Learning and Radiomics Applications in Esophageal Cancers Using Non-Invasive Imaging Methods-A Critical Review of Literature.,"Esophageal cancer (EC) is of public health significance as one of the leading causes of cancer death worldwide. Accurate staging, treatment planning and prognostication in EC patients are of vital importance. Recent advances in machine learning (ML) techniques demonstrate their potential to provide novel quantitative imaging markers in medical imaging. Radiomics approaches that could quantify medical images into high-dimensional data have been shown to improve the imaging-based classification system in characterizing the heterogeneity of primary tumors and lymph nodes in EC patients. In this review, we aim to provide a comprehensive summary of the evidence of the most recent developments in ML application in imaging pertinent to EC patient care. According to the published results, ML models evaluating treatment response and lymph node metastasis achieve reliable predictions, ranging from acceptable to outstanding in their validation groups. Patients stratified by ML models in different risk groups have a significant or borderline significant difference in survival outcomes. Prospective large multi-center studies are suggested to improve the generalizability of ML techniques with standardized imaging protocols and harmonization between different centers.","Chenyi Xie,Chenyi Xie,Chun Pang,Benjamin Chan,Chun-Lap Pang,Chun-Lap Pang,Emily Y. Wong,Benjamin Chan,Emily Yuen-Yuen Wong,Qi Dou,Qi Dou,Varut Vardhanabhuti,Varut Vardhanabhuti",Cancers,2021.0
